State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price
Haryana,Sonipat,Gohana,Apple,Apple,Large,2025-04-06,10000.0,12000.0,11000.0
Haryana,Sonipat,Gohana,Banana - Green,Other,FAQ,2025-04-06,2000.0,2500.0,2200.0
Haryana,Sonipat,Gohana,Carrot,Other,FAQ,2025-04-06,800.0,1000.0,900.0
Haryana,Sonipat,Gohana,Green Chilli,Other,FAQ,2025-04-06,5000.0,6000.0,5500.0
Haryana,Sonipat,Sonepat(Kharkhoda),Potato,Other,FAQ,2025-04-06,900.0,1100.0,1000.0
Himachal Pradesh,Mandi,Mandi(Takoli),Onion,Other,FAQ,2025-04-06,2000.0,2500.0,2300.0
Karnataka,Karwar(Uttar Kannad),Haliyala,Paddy(Dhan)(Common),Paddy Medium,FAQ,2025-04-06,2150.0,2600.0,2300.0
Kerala,Ernakulam,Koovapadi VFPCK,Papaya,Papaya,Large,2025-04-06,1400.0,1800.0,1600.0
Kerala,Ernakulam,Koovapadi VFPCK,Pineapple,Other,Large,2025-04-06,4600.0,5000.0,4800.0
Kerala,Ernakulam,Piravam,Amphophalus,Other,FAQ,2025-04-06,5000.0,7000.0,6000.0
Kerala,Ernakulam,Piravam,Carrot,Other,FAQ,2025-04-06,4000.0,6000.0,5000.0
Kerala,Ernakulam,Piravam,Colacasia,Other,FAQ,2025-04-06,5000.0,6500.0,6000.0
Kerala,Ernakulam,Piravam,Lemon,Other,FAQ,2025-04-06,10000.0,12000.0,11000.0
Kerala,Ernakulam,Piravam,Long Melon(Kakri),Other,FAQ,2025-04-06,2500.0,3500.0,3000.0
Kerala,Ernakulam,Piravam,Snakeguard,Other,FAQ,2025-04-06,4000.0,6000.0,5000.0
Kerala,Ernakulam,Piravam,Water Melon,Water Melon,Large,2025-04-06,3000.0,4000.0,3500.0
Kerala,Idukki,Thodupuzha,Apple,Other,Small,2025-04-06,14800.0,15000.0,15000.0
Kerala,Idukki,Thodupuzha,Banana,Poovan,Large,2025-04-06,5700.0,5900.0,5900.0
Kerala,Idukki,Thodupuzha,Beetroot,Other,FAQ,2025-04-06,2600.0,2800.0,2800.0
Kerala,Idukki,Thodupuzha,Cabbage,Other,FAQ,2025-04-06,2600.0,2800.0,2800.0
Kerala,Idukki,Thodupuzha,Cauliflower,Other,FAQ,2025-04-06,3800.0,4000.0,4000.0
Kerala,Idukki,Thodupuzha,Cowpea(Veg),Other,FAQ,2025-04-06,4000.0,4200.0,4200.0
Kerala,Idukki,Thodupuzha,Mango,Other,Small,2025-04-06,4800.0,5000.0,5000.0
Kerala,Idukki,Thodupuzha,Mango (Raw-Ripe),Other,FAQ,2025-04-06,4800.0,5000.0,5000.0
Kerala,Idukki,Thodupuzha,Orange,Other,Large,2025-04-06,7600.0,7800.0,7800.0
Kerala,Idukki,Vandiperiyar,Banana,Robusta,Large,2025-04-06,4000.0,4200.0,4200.0
Kerala,Idukki,Vandiperiyar,Cabbage,Other,FAQ,2025-04-06,2400.0,2500.0,2500.0
Kerala,Idukki,Vandiperiyar,Carrot,Other,FAQ,2025-04-06,4000.0,4200.0,4200.0
Kerala,Idukki,Vandiperiyar,French Beans (Frasbean),French Beans (Frasbean),FAQ,2025-04-06,8000.0,8500.0,8500.0
Kerala,Idukki,Vandiperiyar,Tomato,Other,FAQ,2025-04-06,2500.0,2600.0,2600.0
Kerala,Kollam,Anchal,Banana,Palayamthodan,Medium,2025-04-06,3600.0,3800.0,3700.0
Kerala,Kollam,Anchal,Coconut,Other,FAQ,2025-04-06,8000.0,8200.0,8100.0
Kerala,Kollam,Anchal,Elephant Yam (Suran),Elephant Yam (Suran),FAQ,2025-04-06,4500.0,4700.0,4600.0
Kerala,Kollam,Anchal,Tomato,Hybrid,FAQ,2025-04-06,3300.0,3500.0,3400.0
Kerala,Kozhikode(Calicut),Perambra,French Beans (Frasbean),Other,FAQ,2025-04-06,6000.0,6800.0,6500.0
Kerala,Malappuram,Kottakkal,Ashgourd,Other,FAQ,2025-04-06,1000.0,1200.0,1100.0
